,state,region,id,zip,city,latitude,longitude,type,url,domain,first.type,expense.percent,financial.rating,financial.rating.fye,accountability.rating,accountability.rating.fye,rating,fundraising.expense,admin.expense,contributions,revenue,rating.fye,overhead
1,IL,illinois,org10000.htm,60008,Rolling Meadows,42.07506,-88.02508,Religion : Religious Activities,http://www.warmblankets.org,warmblankets.org,Religion ,0.059,0.8612,3,0.81,3,0.8336,5.9,5.9,3865008,3865881,3,11.8
2,NJ,new jersey,org10001.htm,8609,Trenton,40.224441,-74.7421,Human Services : Social Services,http://www.trentonsoupkitchen.org/,trentonsoupkitchen.org,Human Services ,0.068,0.9295,4,1,4,0.9501,6.8,8.9,3032363,3113407,4,15.7
3,VT,vermont,org10002.htm,5158,Westminster,43.093695,-72.45054,"Human Services : Youth Development, Shelter, and Crisis Services",http://www.kurnhattin.org/,kurnhattin.org,Human Services ,0.094,0.8366,3,0.89,3,0.8607,9.4,8.2,1112135,3860665,3,17.6
4,MA,massachusetts,org10003.htm,1608,Worcester,42.261343,-71.80173,Community Development : Fundraising,http://www.unitedwaycm.org/,unitedwaycm.org,Community Development ,0.139,0.7553,2,0.93,4,0.82,13.9,7.9,6504806,6816108,3,21.8
5,MA,massachusetts,org10006.htm,2138,Cambridge,42.379146,-71.12803,Education : Other Education Programs and Services,http://harvardmagazine.com/,harvardmagazine.com,Education ,0.135,0.7648,2,0.97,4,0.8323,13.5,18.5,2637188,4219147,3,32
6,IL,illinois,org10007.htm,60613,Chicago,41.953256,-87.6629,International : Development and Relief Services,http://www.coffeekids.org/,coffeekids.org,International ,0.237,0.6836,1,0.81,3,0.739,23.7,4.3,974831,975570,2,28
7,NA,NA,org10008.htm,20005,Washington,38.904461,-77.03088,Research and Public Policy : Social and Public Policy Research,http://ourpublicservice.org/OPS/,ourpublicservice.org,Research and Public Policy ,0.106,0.8752,3,0.89,3,0.8823,10.6,1.7,3546878,8579617,3,12.3
8,NY,new york,org10010.htm,10016,New York,40.74618,-73.97759,"Health : Diseases, Disorders, and Disciplines",http://www.skincancer.org/,skincancer.org,Health ,0.062,0.965,4,0.77,2,0.8354,6.2,3.7,7423161,8038183,3,9.9
9,NY,new york,org10011.htm,10016,New York,40.74618,-73.97759,International : Foreign Charity Support Organizations,http://www.elem.org,elem.org,International ,0.109,0.6536,1,0.81,3,0.7206,10.9,10.3,1041844,1051129,2,21.2
10,NY,new york,org10013.htm,10006,New York,40.707904,-74.01342,Human Services : Multipurpose Human Service Organizations,http://www.newyorkcares.org,newyorkcares.org,Human Services ,0.089,0.9603,4,1,4,0.9719,8.9,5.6,14141024,14416491,4,14.5
11,NY,new york,org10016.htm,10017,New York,40.752159,-73.97231,"Human Services : Youth Development, Shelter, and Crisis Services",http://www.madisonsquare.org/,madisonsquare.org,Human Services ,0.095,0.9185,4,0.96,4,0.9358,9.5,10.4,11686261,13852354,4,19.9
12,CA,california,org10017.htm,91602,North Hollywood,34.152476,-118.36841,Community Development : Fundraising,http://www.wrinstitute.org/,wrinstitute.org,Community Development ,0.115,0.6945,1,0.93,4,0.7783,11.5,10.2,3013393,5328789,2,21.7
13,NY,new york,org10018.htm,14701,Jamestown,42.09179,-79.24459,Community Development : Fundraising,http://www.uwayscc.org,uwayscc.org,Community Development ,0.111,0.8141,3,0.89,3,0.8472,11.1,5.7,1252900,1093224,3,16.8
14,NJ,new jersey,org10019.htm,7733,Holmdel,40.384832,-74.17194,Community Development : Fundraising,http://www.jewishmonmouth.org/,jewishmonmouth.org,Community Development ,0.147,0.6667,1,1,4,0.7643,14.7,9.9,1907524,2359390,2,24.6
15,NJ,new jersey,org10020.htm,7753,Neptune,40.208945,-74.05261,Community Development : Fundraising,http://www.umhfoundation.org/,umhfoundation.org,Community Development ,0.176,0.6132,1,0.77,2,0.6817,17.6,19.1,944492,1494612,1,36.7
16,NJ,new jersey,org10022.htm,7030,Hoboken,40.744851,-74.03294,Human Services : Children's and Family Services,http://www.goodcounselhomes.org,goodcounselhomes.org,Human Services ,0.145,0.8152,3,0.96,4,0.8663,14.5,10.9,3441262,3813038,3,25.4
17,PA,pennsylvania,org10024.htm,18104,Allentown,40.601996,-75.52104,Community Development : Fundraising,http://www.jewishlehighvalley.org/,jewishlehighvalley.org,Community Development ,0.092,0.7914,2,1,4,0.8524,9.2,14.4,2647815,3093298,3,23.6
18,FL,florida,org10025.htm,33407,West Palm Beach,26.750991,-80.07296,"Human Services : Youth Development, Shelter, and Crisis Services",http://www.bgcpbc.org/,bgcpbc.org,Human Services ,0.067,0.9274,4,0.96,4,0.9413,6.7,6.8,9123762,10604737,4,13.5
19,CT,connecticut,org10028.htm,6103,Hartford,41.767049,-72.67433,Community Development : Fundraising,http://www.letsgoarts.org,letsgoarts.org,Community Development ,0.122,0.7986,2,0.97,4,0.856,12.2,1.8,3413502,4185477,3,14
20,IN,indiana,org10032.htm,46805,Fort Wayne,41.098248,-85.12061,"Arts, Culture, Humanities : Public Broadcasting and Media",http://www.wfwa.org,wfwa.org,"Arts, Culture, Humanities ",0.214,0.7998,2,1,4,0.8584,21.4,13.5,2514019,3005896,3,34.9
21,FL,florida,org10033.htm,34711,Clermont,28.545742,-81.74805,Human Services : Multipurpose Human Service Organizations,http://www.sofl.org/,sofl.org,Human Services ,0.147,0.9307,4,0.93,4,0.9303,14.7,4.4,6822673,8582294,4,19.1
22,MI,michigan,org10034.htm,49503,Grand Rapids,42.964176,-85.65885,Human Services : Social Services,http://www.seniorneighbors.org/,seniorneighbors.org,Human Services ,0.072,0.7615,2,0.96,4,0.8289,7.2,7.1,1033000,2421337,3,14.3
23,IL,illinois,org10035.htm,60565,Naperville,41.728738,-88.12824,Environment : Environmental Protection and Conservation,http://www.theconservationfoundation.org/,theconservationfoundation.org,Environment ,0.148,0.7975,2,0.96,4,0.854,14.8,6.7,891769,1340739,3,21.5
24,NM,new mexico,org10037.htm,87740,Raton,36.78767,-104.38693,Human and Civil Rights : Advocacy and Education,http://www.nrawc.org,nrawc.org,Human and Civil Rights ,0.165,0.7055,2,0.82,3,0.7559,16.5,12.8,1115108,3384840,2,29.3
25,AL,alabama,org10038.htm,35146,Springville,33.781133,-86.45052,"Human Services : Youth Development, Shelter, and Crisis Services",http://www.bigoak.org/,bigoak.org,Human Services ,0.088,0.9014,4,0.85,3,0.873,8.8,13.9,6893682,7697236,3,22.7
26,PA,pennsylvania,org10040.htm,15901,Johnstown,40.325374,-78.91485,Community Development : Fundraising,http://www.uwlaurel.org/,uwlaurel.org,Community Development ,0.139,0.8337,3,0.93,4,0.8724,13.9,4.9,1335295,1376316,3,18.8
27,CA,california,org10046.htm,92114,San Diego,32.706954,-117.0542,Human Services : Social Services,http://www.secondchanceprogram.org/,secondchanceprogram.org,Human Services ,0.115,0.8704,3,1,4,0.9083,11.5,11.6,3332013,3996366,4,23.1
28,OH,ohio,org10047.htm,45805,Lima,40.739517,-84.14468,Community Development : Fundraising,http://www.unitedwaylima.org,unitedwaylima.org,Community Development ,0.079,0.8379,3,0.93,4,0.8751,7.9,8,1850983,1996791,3,15.9
29,OH,ohio,org10048.htm,44120,Cleveland,41.472352,-81.58211,"Environment : Botanical Gardens, Parks, and Nature Centers",http://www.shakerlakes.org/,shakerlakes.org,Environment ,0.087,0.907,4,0.86,3,0.8811,8.7,12,955530,1126322,3,20.7
30,IN,indiana,org10049.htm,46634,South Bend,41.596769,-86.292991,Human Services : Homeless Services,http://www.hopesb.org/,hopesb.org,Human Services ,0.109,0.7694,2,0.73,2,0.7489,10.9,7.6,1456273,1523810,2,18.5
31,IN,indiana,org10050.htm,47201,Columbus,39.185341,-85.9456,Community Development : Fundraising,http://www.uwbarthco.org/,uwbarthco.org,Community Development ,0.091,0.7635,2,1,4,0.8327,9.1,7.6,3133880,2975953,3,16.7
32,IL,illinois,org10053.htm,60433,Joliet,41.511644,-88.05698,Human Services : Homeless Services,http://www.morningstarmission.org,morningstarmission.org,Human Services ,0.107,0.6997,1,0.85,3,0.7626,10.7,14.4,5478018,6750104,2,25.1
33,IL,illinois,org10054.htm,60601,Chicago,41.886456,-87.62325,Human and Civil Rights : Advocacy and Education,http://www.cfw.org/,cfw.org,Human and Civil Rights ,0.092,0.9879,4,1,4,0.9914,9.2,2.7,9010234,9667255,4,11.9
34,MN,minnesota,org10055.htm,55408,Minneapolis,44.947515,-93.28742,Community Development : Housing and Neighborhood Development,http://www.urbanventures.org/,urbanventures.org,Community Development ,0.076,0.855,3,1,4,0.8974,7.6,12.3,2732514,3479170,3,19.9
35,MI,michigan,org10057.htm,48912,Lansing,42.734434,-84.52497,Community Development : Fundraising,http://www.micauw.org/,micauw.org,Community Development ,0.099,0.7379,2,1,4,0.8146,9.9,8.5,3251917,3527139,3,18.4
36,MI,michigan,org10058.htm,48104,Ann Arbor,42.266805,-83.72297,Community Development : Fundraising,http://www.uwwashtenaw.org/,uwwashtenaw.org,Community Development ,0.094,0.8939,3,1,4,0.9249,9.4,6.5,6019275,6229733,4,15.9
37,MI,michigan,org10059.htm,49254,Michigan Center,42.230336,-84.32597,Education : Other Education Programs and Services,http://www.nfsc.org/,nfsc.org,Education ,0.223,0.6351,1,0.62,1,0.6274,22.3,8.6,2744881,2937275,1,30.9
38,MI,michigan,org10060.htm,48208,Detroit,42.348937,-83.08994,"Human Services : Youth Development, Shelter, and Crisis Services",http://www.covenanthousemi.org/,covenanthousemi.org,Human Services ,0.047,0.8985,3,1,4,0.9282,4.7,8.4,3908868,4907277,4,13.1
39,MN,minnesota,org10062.htm,55401,Minneapolis,44.984615,-93.27137,Human Services : Multipurpose Human Service Organizations,http://www.specialolympicsminnesota.org/,specialolympicsminnesota.org,Human Services ,0.281,0.7692,2,0.85,3,0.8053,28.1,2.5,5443958,5407937,3,30.6
40,MN,minnesota,org10063.htm,55117,Saint Paul,44.989065,-93.10666,Human Services : Children's and Family Services,http://www.thinksmall.org/,thinksmall.org,Human Services ,0.027,0.8808,3,0.96,4,0.911,2.7,7.7,7247407,9674989,4,10.4
41,MO,missouri,org10067.htm,64106,Kansas City,39.103704,-94.57311,Human Services : Homeless Services,http://www.restartinc.org/,restartinc.org,Human Services ,0.064,0.8938,3,0.93,4,0.91,6.4,14.7,3551153,3660219,4,21.1
42,KS,kansas,org10068.htm,66211,Shawnee Mission,38.925159,-94.64136,Community Development : Fundraising,http://www.jewishkansascity.org,jewishkansascity.org,Community Development ,0.074,0.7767,2,0.93,4,0.8345,7.4,10.1,5085336,6660333,3,17.5
43,KS,kansas,org10069.htm,66211,Shawnee Mission,38.925159,-94.64136,Health : Treatment and Prevention Services,http://www.aafpfoundation.org/,aafpfoundation.org,Health ,0.121,0.8091,3,0.96,4,0.862,12.1,8.7,5640662,7210423,3,20.8
44,DE,delaware,org10072.htm,19805,Wilmington,39.745377,-75.58251,"Human Services : Youth Development, Shelter, and Crisis Services",http://bgclubs.org/,bgclubs.org,Human Services ,0.071,0.9381,4,0.78,2,0.8383,7.1,5.5,8035250,18160562,3,12.6
45,NA,NA,org10074.htm,20001,Washington,38.907711,-77.01732,Research and Public Policy : Social and Public Policy Research,http://www.cnponline.org/,cnponline.org,Research and Public Policy ,0.217,0.7939,2,0.89,3,0.8348,21.7,13.7,1933552,1945312,3,35.4
46,MD,maryland,org10075.htm,21218,Baltimore,39.325956,-76.60602,Human Services : Social Services,http://www.hruth.org/,hruth.org,Human Services ,0.057,0.942,4,0.86,3,0.8928,5.7,8.4,5659908,6742571,3,14.1
47,CO,colorado,org10076.htm,80211,Denver,39.767536,-105.01973,"Environment : Botanical Gardens, Parks, and Nature Centers",http://www.earthforce.org/,earthforce.org,Environment ,0.059,0.7551,2,1,4,0.8268,5.9,4.6,1599575,1654085,3,10.5
48,NA,NA,org10079.htm,20036,Washington,38.906778,-77.04148,Education : Other Education Programs and Services,http://www.societyforscience.org/,societyforscience.org,Education ,0.039,0.9021,4,0.97,4,0.9275,3.9,5.7,4941020,11987435,4,9.6
49,VA,virginia,org10080.htm,22630,Front Royal,38.926615,-78.17499,Research and Public Policy : Social and Public Policy Research,http://www.pop.org/,pop.org,Research and Public Policy ,0.233,0.7723,2,0.59,1,0.6683,23.3,4.3,1475734,1477544,1,27.6
50,NC,north carolina,org10081.htm,27603,Raleigh,35.716105,-78.65734,"Animals : Animal Rights, Welfare, and Services",http://www.spcawake.org,spcawake.org,Animals ,0.035,0.7852,2,1,4,0.8481,3.5,11.2,1910091,2104208,3,14.7
51,NC,north carolina,org10082.htm,27312,Pittsboro,35.756091,-79.17848,Environment : Environmental Protection and Conservation,http://www.rafiusa.org/,rafiusa.org,Environment ,0.044,0.8318,3,1,4,0.881,4.4,13.5,1408406,1831602,3,17.9
52,NC,north carolina,org10083.htm,28206,Charlotte,35.248292,-80.82748,Human Services : Homeless Services,http://www.urbanministrycenter.org/,urbanministrycenter.org,Human Services ,0.032,0.9496,4,0.77,2,0.8335,3.2,4.7,3660527,4089966,3,7.9
53,SC,south carolina,org10084.htm,29325,Clinton,34.470115,-81.86761,Human Services : Children's and Family Services,http://www.thornwell.org/,thornwell.org,Human Services ,0.092,0.7476,2,0.97,4,0.8202,9.2,11.6,4811586,4789004,3,20.8
54,NC,north carolina,org10085.htm,28450,Lake Waccamaw,34.319538,-78.51678,Human Services : Children's and Family Services,http://www.boysandgirlshomesofnc.com/,boysandgirlshomesofnc.com,Human Services ,0.046,0.9856,4,0.81,3,0.8652,4.6,9.6,8656359,9286751,3,14.2
