id,type,url,domain,name,mission_statement,rater
org13790.htm,Human Services : Social Services,http://www.icmaz.org/,icmaz.org,ICM Food & Clothing Bank,"At ICM Food & Clothing Bank (formerly known as Interfaith Cooperative Ministries), we meet the needs of more than 100 families and individuals every day, six days a week. Our mission is ""providing an immediate response to basic human needs."" Essential items such as food boxes (that last up to several days), clothing, toiletries, household goods are given to clients who come to ICM; a free medical clinic once a month is also provided, and screening day by day for blood pressure and other basic issues. The majority are working poor, many are elderly on fixed incomes (some raising grandchildren), and some are disabled mentally and/or physically. Some are veterans. Nobody is turned away who needs help.ICM began 31 years ago as an interfaith collaboration among local Christian and Jewish congregations, and has expanded to include many supporters of civic organizations, schools, and corporate employee groups, foundations and corporations. ",n
org13844.htm,Community Development : Fundraising,http://www.unitedwaynems.org/,unitedwaynems.org,United Way of Northeast Mississippi,"Founded in 1961, The United Way of Northeast Mississippi works to create opportunities to improve lives in the communities we serve. We provide funding to 69 health and human service agencies which are visited and reviewed by community volunteers each year. We serve over 100,000 individuals annually in a 7-county area. ",n
org3673.htm,"Health : Diseases, Disorders, and Disciplines",http://www.epilepsy.com/,epilepsy.com,Epilepsy Foundation,"Founded in 1968, the Epilepsy Foundation is the national voluntary agency solely dedicated to the welfare of people with epilepsy in the U.S. and their families. The mission of the Epilepsy Foundation is to stop seizures and SUDEP, find a cure and overcome the challenges created by epilepsy through efforts including education, advocacy and research to accelerate ideas into therapies. In addition to programs conducted at the national level, epilepsy clients throughout the United States are served by Epilepsy Foundation affiliates around the country. In December 2012, the Epilepsy Therapy Project was merged into the Epilepsy Foundation ",n
org5096.htm,"Arts, Culture, Humanities : Museums",http://www.michenerartmuseum.org/,michenerartmuseum.org,James A. Michener Art Museum,"In 1988, the James A. Michener Art Museum opened as an independent, cultural institution dedicated to preserving, interpreting and exhibiting the art and cultural heritage of the Bucks County region. The Museum is named for Doylestown's most famous son, the Pulitzer-Prize winning writer and supporter of the arts who had first dreamed of a regional art museum in the early 1960s. In addition to hosting nationally touring special exhibitions and showcasing important regional artists, the Museum is home to a world class collection of Pennsylvania Impressionist paintings. The Museum is housed in what began as the Bucks County prison, once a place of fear and despair; today the site has been transformed into a welcoming center of culture and beauty . . .guarding the artistic soul of Bucks County. ",n
org7993.htm,Animals : Wildlife Conservation,http://www.wildsalmoncenter.org/,wildsalmoncenter.org,Wild Salmon Center,"The Wild Salmon Center is an international science-based organization whose mission is to identify, understand and protect the best wild salmon ecosystems of the North Pacific. We are committed to conserving for future generations the productivity, abundance, and biological diversity of wild salmon runs, and the healthy freshwater and coastal systems that sustain them. We envision a future where people throughout the North Pacific work together as stewards to sustain wild salmon and the immense benefits they provide people, rivers, and their watersheds. ",n
org15552.htm,Community Development : Fundraising,http://uwgat.org/,uwgat.org,United Way of Greater Attleboro/Taunton,"Founded in 1942, United Way of Greater Attleboro/Taunton's mission is to improve lives by uniting the caring power of communities to advance the common good. Our focus is on education, income, and health, because these are the building blocks for a good quality of life. We will recruit the people and organizations from all across the community who bring the passion, expertise, and resources needed to get things done. We invite you to be a part of the change. You can give, you can advocate, and you can volunteer. That's what it means to Live United. ",n
org5319.htm,Community Development : Fundraising,http://www.chw.org/giving-and-volunteers/about-childrens-hospital-foundation/,chw.org,Children's Hospital of Wisconsin Foundation,"Children's Hospital of Wisconsin Foundation provides philanthropic support to Children's Hospital of Wisconsin and its tax-exempt affiliates. The Foundation has advanced the Hospital's mission by securing endowment funds for a large number of programs and services related to pediatric patient care, education, research and advocacy for children. Our accomplishments include: helping to fund the creation of the Children's Hospital's child protection center and the child life program of education and play therapy for children; significant funding of the hospital's intensive care units' equipment; and funding for school-based health centers in Milwaukee schools. ",n
org8571.htm,Human Services : Homeless Services,http://www.carpentersshelter.org/,carpentersshelter.org,Carpenter's Shelter,"Carpenter's Shelter is Northern Virginia's award-winning homeless program, dedicated to offering housing and hope through respect, responsibility and results. In the beginning, we provided little more than bedding on cold nights in Alexandria churches. Since our doors opened in 1988, Carpenter's has helped children, families, and adults stabilize their lives, overcome homelessness, and become contributing members of their communities. We fulfill the needs of more than 1,000 children, families and adults each year as they work towards a better tomorrow. We operate a day shelter, a long-term emergency shelter, and transitional housing apartments, all with comprehensive case management and education classes focused on life skills. ",n
org7829.htm,Education : Other Education Programs and Services,http://www.thurgoodmarshallfund.org,thurgoodmarshallfund.org,Thurgood Marshall College Fund,"Founded in 1987, Thurgood Marshall College Fund (TMCF) provides scholarships, capacity building and programmatic support, and advocacy for students and public Historically Black Colleges and Universities (HBCUs). Its mission is to increase access, retention and graduation rates of students attending its member schools, identify and prepare member schools' students who have significant leadership potential, and create a pipeline for employers of highly-qualified member-schools, students and alumni. ",n
org13185.htm,Research and Public Policy : Social and Public Policy Research,http://www.illinoispolicy.org,illinoispolicy.org,Illinois Policy Institute,"The Illinois Policy Institute inspires changes in hearts, minds and laws through its mission to promote personal freedom and prosperity in Illinois and America. As a leading independent research and education organization, the Institute generates positive and sustainable policy solutions for citizens and lawmakers that help unleash talent and entrepreneurial ability. The Illinois Policy Institute's approach is to transform liberty principles into marketable policies that become law. The ultimate sign of success is when free market ideas are turned into law and change lives for the better. What does this look like? Individuals and businesses become more prosperous without the fear of government favoritism or interference, families can choose a high quality education for their kids, and citizens respect their government because it is open and transparent to all. ",n
