id,type,url,domain,name,mission_statement,rater
org14917.htm,"Human Services : Youth Development, Shelter, and Crisis Services",http://www.centralgeorgiacouncil.org/,centralgeorgiacouncil.org,"Boy Scouts of America, Central Georgia Council","The Boy Scouts of America, Central Georgia Council is one of the largest councils in Georgia geographically, serving 24 counties of middle Georgia. Over 5,600 youth are served each year in programs from first grade through high school. About 1,800 adult volunteers serve Scouting under the guidance of a volunteer board of directors and a relatively small professional staff of six. Through Scouting programs, students are taught honesty, importance of service to others and skills that help define one's personal value system. ",n
org13173.htm,International : Development and Relief Services,http://www.touchfoundation.org/,touchfoundation.org,Touch Foundation,"Touch Foundation is working to improve the health of the Tanzanian population by increasing access to essential, quality healthcare for those who need it most. Touch improves access to care by focusing on two main activities: ? Increasing the quantity and quality of the healthcare workforce? Improving healthcare delivery mechanisms to enable provision of care by the health workers Touch Foundation was founded in 2004 by Lowell Bryan, a senior Director at McKinsey & Company (now Director Emeritus). Since inception, Touch has helped graduate 209 physicians (~10% of the country's physicians) and about 1,800 allied health care professionals, including assistant medical officers, nurses, lab technicians and radiographers. The vast majority of these graduates have remained in Tanzania, currently working in the Tanzanian healthcare sector. Over their careers, they will care for thousands of people and save many precious lives. ",n
org7770.htm,Religion : Religious Activities,http://jerusalemfellowships.org/,jerusalemfellowships.org,Jerusalem Fellowships,"Jerusalem Fellowships strives to ignite Jewish pride on college campuses by educating students about the power and beauty of their Jewish heritage. We endeavor to achieve this goal by reaching out to college students by offering them low-cost tours and study trips to Israel and establishing campus outreach centers and programs throughout North America. In addition, Jerusalem Fellowships has set up the Hasbara Fellowships which educate and train university students to be effective pro-Israel activists on their campuses. Jerusalem Fellowships is an offshoot of Aish HaTorah, an apolitical, international network of Jewish educational centers providing opportunities for Jews to discover the wisdom and beauty of their heritage in an atmosphere of open inquiry and mutual respect. ",n
org4944.htm,Health : Medical Research,http://hearinghealthfoundation.org/,hearinghealthfoundation.org,Hearing Health Foundation,"Hearing Health Foundation, formerly known as Deafness Research Foundation, is the leading national source of private funding for research in hearing and balance science. The mission of Hearing Health Foundation is to prevent and cure hearing loss and tinnitus through groundbreaking research. Since its founding in 1958, Hearing Health Foundation has awarded approximately 2,000 grants, totaling nearly $30 million. Hearing Health Foundation-funded research has led to dramatic innovations in hearing and balance science, such as: cochlear implants, universal newborn hearing screening, surgical therapy for otosclerosis, hair cell regeneration, and auditory research. Our new groundbreaking initiative, the Hearing Restoration Project (HRP), aims to find a cure for many types of hearing loss and tinnitus in the next decade. HRP is a 'dream team' of scientists who are working daily to find ways to regenerate hair cell growth in the human ear to restore hearing loss. ",n
org13822.htm,"Arts, Culture, Humanities : Performing Arts",http://www.grsymphony.org/,grsymphony.org,Grand Rapids Symphony,"The Grand Rapids Symphony was officially organized in 1930 and is recognized as one of America's leading regional orchestras. Our vision is for the Grand Rapids Symphony to be a more integral and indispensable part of the West Michigan community. The institution has long been an important part of the community, with musical excellence, diverse programming, collaborative spirit, and a commitment to learning all adding to the quality of life we enjoy in West Michigan. The Grand Rapids Symphony presents more than 400 performances each year, touching the lives of some 170,000. Nearly half of those who benefit are students, senior citizens and people with disabilities reached through extensive education and community service programs. ",n
org14453.htm,Human Services : Social Services,http://www.mealsonwheelsofcontracosta.org/,mealsonwheelsofcontracosta.org,Meals on Wheels of Contra Costa,"Meals on Wheels of Contra Costa Inc. supports homebound elders to maintain their health and dignity, and to live independently in the comfort and security of their own homes. We serve homebound senior citizens who have one or more chronic health conditions that prevent their preparing nutritious daily meals for themselves. We bridge the widening gap between an ever increasing number of frail homebound elders in need of Meals on Wheels in our county, and insufficient government funding for these critical services. ",n
org7033.htm,International : Development and Relief Services,http://www.operationbootstrapafrica.org/,operationbootstrapafrica.org,Operation Bootstrap Africa,"Operation Bootstrap Africa (OBA) is a Minnesota-based, inter-denominational organization dedicated to helping people help themselves in a variety of educational programs in Africa. OBA began its mission of service in Tanzania in the mid-1960's, and was incorporated in 1965. OBA seeks to assist with educational opportunity in Africa, and has funded more than 2,250 classrooms and teachers' quarters in Tanzania alone. In that same timeframe the literacy rate of Tanzania has gone from 10% to 85%. In recent years, OBA has expanded into Madagascar, Zimbabwe and The Gambia, always working on self-help partnership agreements, in response to requests for assistance. ",n
org6792.htm,Environment : Environmental Protection and Conservation,http://www.eany.org/,eany.org,Environmental Advocates of New York,"Founded in 1969, Environmental Advocates of New York's mission is to protect our air, land, water and wildlife and the health of all New Yorkers. Based in Albany, we monitor state government, evaluate proposed laws, and champion policies and practices that will ensure the responsible stewardship of our shared environment. We work to support and strengthen the efforts of New York's environmental community and to make our state a national leader. We are the New York State affiliate of the National Wildlife Federation (NWF) and confer regularly with colleagues in across the country through our membership in the State Environmental Leadership Conference. ",n
org7029.htm,Community Development : Fundraising,http://www.mnenvirofund.org/,mnenvirofund.org,Minnesota Environmental Fund,"Twenty-one members strong, the Minnesota Environmental Fund is a balanced group of organizations with one common goal: maintaining our high-quality environment. Minnesota Environmental Fund provides education and a vital payroll giving choice to employees through our member organizations that protect, conserve and restore Minnesota's environment. Minnesota Environmental Fund provides the opportunity for employees to choose the environmental cause(s) they wish to support: protecting the air, water, land, and food; advocating environmental justice; or promoting a safe, clean and healthy environment throughout Minnesota. ",n
org15057.htm,Education : Other Education Programs and Services,http://www.ndi-nm.org,ndi-nm.org,NDI New Mexico,"NDI New Mexico was founded with the knowledge that the arts have a unique power to engage and motivate children. The purpose of our distinctive programs is to help children develop discipline, a standard of excellence, and a belief in themselves that will carry over into all aspects of their lives. Our work is guided by our belief in children, as well as our commitment to social responsibility, excellence, sustainability and financial integrity. ",n
org14720.htm,Human Services : Social Services,http://www.tulsacenter.org/,tulsacenter.org,The Center for Individuals With Physical Challenges,"The Center for Individuals With Physical Challenges in Tulsa, Oklahoma was established in 1959 to provide organized social, cultural and recreational opportunities for persons with physical disabilities. The Center provides a wide variety of services for persons with physical challenges in three major program areas: rehabilitation services, adaptive recreation and community reintegration, in addition to several support groups that meet at the Center's facility. ",n
org12956.htm,"Human Services : Youth Development, Shelter, and Crisis Services",http://www.bgcphila.org,bgcphila.org,Boys & Girls Clubs of Philadelphia,"The Boys & Girls Clubs of Philadelphia enable all young people, especially those who need us most, to reach their full potential as productive, caring, responsible citizens. The Boys & Girls Clubs of Philadelphia provide a safe place to learn and grow; ongoing relationships with caring, adult professionals; life-enhancing programs and character development experiences; and hope and opportunity for more than 13,000 Philadelphia youth each year. The Boys & Girls Clubs of Philadelphia has served our city's youth since 1887. Our Germantown, Wissahickon, and Nicetown units are three of the original Clubs that were part of the founding of the Boys & Girls Clubs of America more than 100 years ago. ",n
org11454.htm,Community Development : Fundraising,http://www.uwwc.org,uwwc.org,United Way of Williamson County,"United Way of Williamson County brings together resources and people with passion and expertise to create innovative, positive and lasting change that improves lives. We are all interdependent and connected. It takes all of us to strengthen our community and prevent problems from happening in the first place. United Way's goal is to create long-lasting changes by addressing the underlying causes of these problems. Living United means being a part of the change. It takes everyone in the community working together to create a brighter future. ",n
org7221.htm,Education : Other Education Programs and Services,http://www.southernscholarship.org/,southernscholarship.org,Southern Scholarship Foundation,"Incorporated in 1955, the Southern Scholarship Foundation works to help deserving young people who lack financial resources, but demonstrate excellent academic merit and moral character, attend institutions of higher education. Today the Foundation owns and/or operates a total of 25 scholarship houses; thirteen at Florida State University, three at Florida A&M; University in Tallahassee, eight at the University of Florida in Gainesville, and one at Florida Gulf Coast University in Ft. Myers. We are currently housing 400 students and have assisted more than 8,000 students since our inception. ",n
org12925.htm,Education : Other Education Programs and Services,http://alumni.umd.edu/s/1132/start.aspx,alumni.umd.edu,University of Maryland Alumni Association,"The University of Maryland Alumni Association supports and promotes the university in its pursuits of excellence in teaching, research and public service and to foster a spirit of loyalty, involvement and life-long commitment to the university by its alumni. ",n
org11028.htm,"Arts, Culture, Humanities : Libraries, Historical Societies and Landmark Preservation",http://www.georgiahistory.com,georgiahistory.com,Georgia Historical Society,"Georgia Historical Society (GHS) is the premier independent statewide institution responsible for collecting, examining, and teaching Georgia history. GHS houses the oldest and most distinguished collection of materials related exclusively to Georgia history in the nation.     Chartered by the Georgia General Assembly in 1839, the Georgia Historical Society (GHS) is the state's oldest cultural organization and first and only statewide historical society. GHS is an educational and research institution created to preserve and interpret Georgia history and the state's role in American history through a variety of educational programs, publications, and research services. Headquartered in Savannah with an office in Atlanta, GHS has 6,000 individual members and nearly 200 affiliate chapters. ",n
org13089.htm,"Arts, Culture, Humanities : Museums",http://www.echovermont.org,echovermont.org,ECHO Lake Aquarium and Science Center,"ECHO's mission is to educate and delight people about the Ecology, Culture, History and Opportunity for stewardship of the Lake Champlain Basin. ECHO Lake Aquarium and Science Center is a 28,500 square foot, award-winning LEED facility. Founded in 2003, ECHO welcomes more than 150,000 visitors annually with interactive exhibits and science education programs that include over 70 species of fish, amphibians, invertebrates, and reptiles; and more than 100 interactive experiences. ",n
org7025.htm,"Human Services : Food Banks, Food Pantries, and Food Distribution",http://www.channel-one.org/,channel-one.org,Channel One Regional Food Bank,"Channel One Regional Food Bank helps feed people in need through an efficient system of collection and distribution of food and non-food items to non-profit organizations that serve low-income people. Channel One Regional Food Bank takes in millions of pounds of surplus food from the food industry. That food is then distributed through our network of member agencies, including food shelves, soup kitchens, group homes and shelters. This past year, the Channel One obtained 4.8 million pounds of food and distributed 4.6 million pounds through the hunger relief network that serves a 14 county service area in Southeast Minnesota and Western Wisconsin. Channel One is certified member of Feeding America, The Nation's Food Bank Network. ",n
org9159.htm,International : Foreign Charity Support Organizations,http://princeofwalesfdn.org/aboutus.html,princeofwalesfdn.org,The Prince of Wales Foundation,"The Prince of Wales Foundation (U.S.A.) was founded by HRH The Prince of Wales in 1997. The Foundation seeks to compliment the work of The Prince of Wales's Charitable Foundation (U.K.), and expand His Royal Highness's outreach to the United States and around the world. Since its inception, The Prince of Wales Foundation has grown to encompass an ever-broadening arena of interests and concerns. Funds raised by the Foundation support grants in the areas of education, arts and cultural programs, sustainable development in urban and rural communities and the environment. ",n
