charityid,charityCategory,title,mission
org14343.htm,Human Services : Social Services,Neighbor to Neighbor,"Neighbor to Neighbor is a non-profit organization dedicated to serving residents in need throughout the Greenwich area. We improve lives by providing for the exchange of food, clothing and basic living essentials in an atmosphere of kindness and respect. "
org14114.htm,Human Services : Social Services,Mobile Loaves & Fishes,"Mobile Loaves & Fishes empowers communities into a lifestyle of service with the homeless. We provide food and clothing and promote dignity to our homeless brothers and sisters in need. MLF offers flexible micro-enterprise opportunities for the chronically homeless to use their individual talents and skills to earn a modest living income. Our ""Community First"" program teaches the principles and practices of organic and sustainable agriculture while encouraging residents and homeless individuals to cultivate relationships and develop community. "
org15222.htm,"Human Services : Youth Development, Shelter, and Crisis Services",Boys & Girls Clubs of Southern Maine,"Founded in 1909, the Boys & Girls Clubs of Southern Maine work to inspire and enable all young people, especially those who need us most, to reach their full potential as productive, caring, responsible citizens. Boys & Girls Clubs of Southern Maine provide hope and opportunity to tens of thousands of young people. Our programs and services promote and enhance the development of boys and girls by instilling a sense of competence, usefulness, belonging and influence. Boys & Girls Clubs are a safe place to learn and grow - all while having fun. "
org5271.htm,Human Services : Multipurpose Human Service Organizations,Feeding America,"Feeding America is the nationwide network of 200 food banks that leads the fight against hunger in the United States. Together, we provide food to more than 46 million people through 60,000 food pantries and meal programs in communities across America. Feeding America also supports programs that improve food security among the people we serve; educates the public about the problem of hunger; and advocates for legislation that protects people from going hungry. Individuals, charities, businesses and government all have a role in ending hunger. Donate. Volunteer. Advocate. Educate. Together we can solve hunger. "
org11109.htm,Community Development : Housing and Neighborhood Development,Asheville Area Habitat for Humanity,"Asheville Area Habitat for Humanity builds and preserves communities. Safe and decent housing provides families an opportunity for stability, security and personal and professional advancement. Yes, we build new houses and help preserve existing homes. But we also change lives. We have completed 266 houses. We plan to build 14 new houses this year, as well as repair/preserve another 40 existing homes in the community. "
org13206.htm,Human Services : Children's and Family Services,"Center for Children and Families, Inc.","At the Center for Children and Families, Inc. (CCFI), we offer strength-based programs and services to aide and educate families coping with abuse, neglect, divorce, separation, teenage pregnancy, a lack of quality out-of-school care, and/or other adverse experiences. Since 1969, CCFI has partnered with schools, neighborhoods, donors, public agencies, and families to provide education, prevention, and treatment services for families because we believe that every boy and girl deserves to grow up safe, nurtured and loved. "
org5646.htm,"Human Services : Food Banks, Food Pantries, and Food Distribution",Second Harvest Food Bank of Greater New Orleans and Acadiana,"Founded in 1982, the Second Harvest Food Bank of Greater New Orleans and Acadiana fights against hunger in South Louisiana through food distribution, advocacy, education and disaster response. On August 29, 2005, Hurricane Katrina struck Second Harvest's service area, followed by Hurricane Rita on September 24, 2005. More than a million people were displaced from their homes and hundreds of thousands of people found themselves in need of emergency assistance. By September 2005, we became the largest food bank in the world's history, with the help of America's Second Harvest and skilled food bank volunteers from all over the country. Second Harvest Food Bank of Greater New Orleans and Acadiana is mobilizing to respond to the effects of Hurricane Gustav. "
org4906.htm,"Human Services : Food Banks, Food Pantries, and Food Distribution",Connecticut Food Bank,"Founded in 1982, Connecticut Food Bank is the largest centralized source of charitable food donations in Connecticut. Connecticut Food Bank is a private organization whose mission is to provide nutritious food to people in need by supplying food products and resources to eligible agencies throughout our service areas in Connecticut, and to promote public awareness about the problem of hunger. Connecticut Food Bank provides grocery products to nearly 700 soup kitchens, shelters, food pantries, and day programs in Fairfield, Litchfield, Middlesex, New Haven, New London and Windham counties. "
org10916.htm,"Human Services : Youth Development, Shelter, and Crisis Services","Boy Scouts of America, Trapper Trails Council","Boy Scouts of America, Trapper Trails Council prepares young people to make ethical and moral choices over their lifetimes by instilling in them the values of the scout oath and law. We provide a variety of activities to support and strengthen boy scout units and individual youth ages 8-18. Activities provided include: camping, leadership and development of skills. "
org13192.htm,Human Services : Social Services,The Second Step,"The Second Step is a comprehensive program for survivors of domestic violence. Founded in 1992, The Second Step offers transitional housing, advocacy, safety planning, mentoring, children's programs, legal case management, and an array of supportive services for families transitioning away from abuse. The Second Step partners with adult and child survivors of domestic violence to enhance supportive community and identify pathways to physical and emotional healing, housing, and financial security. "
org12316.htm,Human Services : Multipurpose Human Service Organizations,Metro YMCAs of the Oranges,"As the largest association of YMCAs in the State of New Jersey, the Metropolitan YMCA of the Oranges has an amazing opportunity to enrich the lives of thousands of children, families and individuals through programs that build spirit, mind and body. Our five YMCA branches offer a diverse and unique array of programs for people of all ages including childcare, summer camps, fitness, aquatics and before and after school programs just to name a few. "
org3545.htm,"Human Services : Food Banks, Food Pantries, and Food Distribution",Community FoodBank of New Jersey,"Incorporated in 1982, the Community FoodBank of New Jersey fights hunger and poverty in New Jersey by assisting those in need and seeking long term solutions. We will engage, educate, and empower all sectors of society in the battle. The FoodBank distributes 40 million pounds of food a year to more than 1100 partner agencies running a total of almost 1400 programs. Through our combined efforts, we help feed more than 900,000 hungry people in New Jersey "
org14202.htm,Human Services : Social Services,Veterans Support Foundation,"Established in 1991, the Veterans Support Foundation (VSF) is a humanitarian and educational organization founded to improve the quality of life for deserving veterans and their families. The main objectives of VSF are to: help fund non profit organizations in support of veteran related projects throughout the United States, assist disabled veterans and their qualifying family members, assist and provide transitional and permanent housing for homeless and at risk veterans, and enrich the lives of all veterans and their families. VSF also does business as the United States Armed Forces Association (USAFA). "
org14834.htm,Human Services : Multipurpose Human Service Organizations,YWCA of Cleveland Ohio,"YWCA Greater Cleveland, established in 1868, is a unique and vital community resource in Northeast Ohio committed to eliminating racism and empowering women. Although the YWCA is committed to the empowerment of women, our organization is not comprised of only women -- or serving only women. The YWCA has women and men as members, volunteers, supporters and leaders of the organization. Our programs serve women and men, young adults, adolescents and children. We also provide services to other nonprofit organizations and the business community. "
org3381.htm,"Human Services : Youth Development, Shelter, and Crisis Services",Boys & Girls Clubs of Metro Atlanta,"Boys & Girls Clubs of Metro Atlanta mission is to save and change the lives of children and teens, especially those who need us most, by providing a safe, positive and engaging environment and programs that prepare and inspire them to achieve Great Futures. Our Vision for 2020: Through successful partnerships and collaborations, ensure that 90% of the youth being served 3 days or more per week are on track to graduate on time, live healthy lifestyles and give back to their community.Issues young people face today grow by the minute. BGCMA works to improve communities by addressing critical issues that affect our youth's future, including high school graduation, college attendance, childhood obesity, youth confidence, leadership and so much more.Through positive relationships and impact-driven programs focused on Academic Success, Healthy Lifestyles and Character & Leadership Development, we enhance the good in every child and unlock potential that leads to future success. "
org13100.htm,Human Services : Social Services,Goodwill Industries of Southeastern Wisconsin,"Goodwill Industries of Southeastern Wisconsin is the largest of more than 165 Goodwill organizations in North America. Nearly 5,000 Goodwill employees work in 70 locations throughout 23 counties in southeastern Wisconsin and metropolitan Chicago. Goodwill provides training, employment and supportive services for people with disabilities or disadvantages who seek greater independence. Goodwill's objective is to assist program participants in developing or securing work opportunities that fulfill their personal and professional goals, while providing wages and benefits that maintain self-sufficiency. Goodwill Industries of Southeastern Wisconsin, Inc., has been providing services since 1919. We pursue and achieve our mission by operating diverse businesses: participant programs and services, retail and salvage sales, industrial subcontracts and laundry, and service contracts with the government. "
